"filename", "language", "TypeScript", "JSON", "JSON with Comments", "vue", "JavaScript", "Markdown", "HTML", "CSS", "Properties", "Batch", "PowerShell", "Python", "pip requirements", "reStructuredText", "YAML", "C++", "CUDA C++", "Ini", "XML", "C", "comment", "blank", "total"
"d:\desktop\PinesWebPro\pines3.0\README.md", "Markdown", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 170
"d:\desktop\PinesWebPro\pines3.0\auto-imports.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\desktop\PinesWebPro\pines3.0\components.d.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 81
"d:\desktop\PinesWebPro\pines3.0\flaskPro\api.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"d:\desktop\PinesWebPro\pines3.0\flaskPro\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\desktop\PinesWebPro\pines3.0\flaskPro\model\net\TransUNet.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48, 191
"d:\desktop\PinesWebPro\pines3.0\flaskPro\model\net\ViT.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 19, 48, 181
"d:\desktop\PinesWebPro\pines3.0\flaskPro\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\desktop\PinesWebPro\pines3.0\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"d:\desktop\PinesWebPro\pines3.0\package-lock.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4763, 0, 4818
"d:\desktop\PinesWebPro\pines3.0\package.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\desktop\PinesWebPro\pines3.0\public\mobile.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"d:\desktop\PinesWebPro\pines3.0\public\student.json", "JSON", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 135
"d:\desktop\PinesWebPro\pines3.0\public\stuff.json", "JSON", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225
"d:\desktop\PinesWebPro\pines3.0\public\table.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"d:\desktop\PinesWebPro\pines3.0\public\teacher.json", "JSON", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 270
"d:\desktop\PinesWebPro\pines3.0\public\type_distribute.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\Flask-2.2.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\Jinja2-3.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\MarkupSafe-2.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\Werkzeug-2.2.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 19, 32, 129
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click-8.1.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 74
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\_compat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439, 0, 0, 0, 0, 0, 0, 0, 0, 62, 126, 627
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\_termui_impl.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 0, 100, 112, 718
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\_textwrap.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\_winconsole.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 11, 54, 280
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\core.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1565, 0, 0, 0, 0, 0, 0, 0, 0, 1008, 426, 2999
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\decorators.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 156, 94, 498
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\exceptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 62, 57, 288
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\formatting.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 66, 46, 302
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\globals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 69
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\parser.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 145, 75, 530
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\shell_completion.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 236, 94, 581
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\termui.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 0, 0, 0, 394, 73, 788
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\testing.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 104, 69, 480
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\types.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 605, 0, 0, 0, 0, 0, 0, 0, 0, 288, 181, 1074
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\click\utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 208, 93, 581
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\ansi.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 103
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\ansitowin32.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 25, 44, 278
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\initialise.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 122
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\ansi_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 77
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\ansitowin32_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44, 295
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\initialise_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 190
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\isatty_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 58
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 50
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\colorama\tests\winterm_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 132
