"filename", "language", "JSON", "TypeScript", "vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\desktop\PinesWebPro\pines3.0\.lh\src\components\stageInAll.vue.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 18
"d:\desktop\PinesWebPro\pines3.0\.lh\src\views\charts.vue.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"d:\desktop\PinesWebPro\pines3.0\dist\vite.config.js", "JavaScript", 0, 0, 0, 37, 0, 1, 0, 38
"d:\desktop\PinesWebPro\pines3.0\package-lock.json", "JSON", -1, 0, 0, 0, 0, -101, 0, -102
"d:\desktop\PinesWebPro\pines3.0\package.json", "JSON", -1, 0, 0, 0, 0, 0, 0, -1
"d:\desktop\PinesWebPro\pines3.0\public\mobile.json", "JSON", -74, 0, 0, 0, 0, 0, -1, -75
"d:\desktop\PinesWebPro\pines3.0\public\stage_distribute.json", "JSON", -23, 0, 0, 0, 0, 0, 0, -23
"d:\desktop\PinesWebPro\pines3.0\public\student.json", "JSON", -134, 0, 0, 0, 0, 0, -1, -135
"d:\desktop\PinesWebPro\pines3.0\public\stuff.json", "JSON", -225, 0, 0, 0, 0, 0, 0, -225
"d:\desktop\PinesWebPro\pines3.0\public\table.json", "JSON", -40, 0, 0, 0, 0, 0, 0, -40
"d:\desktop\PinesWebPro\pines3.0\public\teacher.json", "JSON", -270, 0, 0, 0, 0, 0, 0, -270
"d:\desktop\PinesWebPro\pines3.0\public\type_distribute.json", "JSON", -19, 0, 0, 0, 0, 0, 0, -19
"d:\desktop\PinesWebPro\pines3.0\src\api\dist\index.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 4
"d:\desktop\PinesWebPro\pines3.0\src\api\dist\manage.js", "JavaScript", 0, 0, 0, 5, 0, 30, 1, 36
"d:\desktop\PinesWebPro\pines3.0\src\api\index.ts", "TypeScript", 0, -37, 0, 0, 0, 37, 0, 0
"d:\desktop\PinesWebPro\pines3.0\src\api\manage.ts", "TypeScript", 0, 2, 0, 0, 0, 30, 5, 37
"d:\desktop\PinesWebPro\pines3.0\src\assets\css\color-light.css", "CSS", 0, 0, 0, 0, -1, 0, 0, -1
"d:\desktop\PinesWebPro\pines3.0\src\assets\data\pines\dataAnalysis\stage_distribute.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"d:\desktop\PinesWebPro\pines3.0\src\assets\data\pines\dataAnalysis\type_distribute.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 19
"d:\desktop\PinesWebPro\pines3.0\src\dist\dist\main.dev.js", "JavaScript", 0, 0, 0, 46, 0, 0, 19, 65
"d:\desktop\PinesWebPro\pines3.0\src\dist\main.js", "JavaScript", 0, 0, 0, -8, 0, 0, 0, -8
"d:\desktop\PinesWebPro\pines3.0\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, -1
"d:\desktop\PinesWebPro\pines3.0\src\server\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\desktop\PinesWebPro\pines3.0\src\store\config.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\desktop\PinesWebPro\pines3.0\src\store\dist\config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 1, 10
"d:\desktop\PinesWebPro\pines3.0\src\utils\dist\http.dev.js", "JavaScript", 0, 0, 0, 82, 0, 51, 30, 163
"d:\desktop\PinesWebPro\pines3.0\src\utils\dist\request.js", "JavaScript", 0, 0, 0, 4, 0, 29, 1, 34
"d:\desktop\PinesWebPro\pines3.0\src\utils\http.js", "JavaScript", 0, 0, 0, -1, 0, 1, 0, 0
"d:\desktop\PinesWebPro\pines3.0\src\utils\request.ts", "TypeScript", 0, -26, 0, 0, 0, 27, -1, 0
"d:\desktop\PinesWebPro\pines3.0\src\views\manage.vue", "vue", 0, 0, -4, 0, 0, 0, 2, -2
"d:\desktop\PinesWebPro\pines3.0\src\views\uploadPic.vue", "vue", 0, 0, 118, 0, 0, 3, -3, 118
"d:\desktop\PinesWebPro\pines3.0\src\views\uploadPicCom\Comm.ts", "TypeScript", 0, -44, 0, 0, 0, 45, -1, 0
"d:\desktop\PinesWebPro\pines3.0\src\views\uploadPicCom\dist\Comm.js", "JavaScript", 0, 0, 0, 4, 0, 49, 1, 54
"d:\desktop\PinesWebPro\pines3.0\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1
"Total", "-", -705, -104, 114, 178, -1, 207, 53, -258
